683,1
6811,1
6817,1
6819,1
6821,1
6822,1
6829,1
6841,1
6843,1
6845,1
6846,1
6847,1
6849,1
6851,1
68121,1
68129,1
68141,1
68149,1
68151,1
68153,1
68154,1
68159,1
68449,1
68481,1
68489,1
6865,1
6867,1
68614,1
68616,1
68619,1
68631,1
68633,1
68639,1
6861212,1
6861214,1
6861216,1
6861218,1
6861219,1
6621,2
66234,2
66239,2
66251,2
66253,2
66255,2
64811,3
64812,3
64813,3
64815,3
64817,3
64819,3
64821,3
64822,3
64823,3
64824,3
64825,3
64827,3
64833,3
64838,3
64839,3
64859,3
64871,3
64873,3
64875,3
648181,3
648189,3
648291,3
648292,3
648299,3
648311,3
648312,3
648319,3
648321,3
648329,3
648352,3
648359,3
648371,3
648372,3
648379,3
648529,3
648543,3
648544,3
648545,3
648547,3
648549,3
648721,3
6481832,3
6481839,3
6483221,3
6483222,3
6483229,3
6485219,3
6485419,3
64852121,3
64852123,3
64852125,3
64852129,3
648521221,3
648521229,3
6413,4
6415,4
6416,4
6419,4
6432,4
6434,4
6436,4
6439,4
6451,4
64111,4
64112,4
64113,4
64114,4
64119,4
64179,4
64180,4
64189,4
64381,4
64382,4
64383,4
64385,4
64389,4
643841,4
643842,4
643849,4
643879,4
6417012,4
6417019,4
6417024,4
6417029,4
6438721,4
6438722,4
6438723,4
6438725,4
6438727,4
6438729,4
64170221,4
64170223,4
64170229,4
6453,5
6458,5
6463,5
6465,5
6467,5
6469,5
6471,5
64543,5
64544,5
64545,5
64551,5
64552,5
64559,5
64569,5
64571,5
64579,5
64591,5
64592,5
64595,5
64629,5
64721,5
64722,5
64729,5
64731,5
64739,5
64741,5
64742,5
64743,5
64744,5
64745,5
64747,5
64749,5
64881,5
645211,5
645213,5
645219,5
645221,5
645223,5
645229,5
645411,5
645419,5
645479,5
645499,5
645721,5
645722,5
645729,5
645940,5
645949,5
646212,5
647469,5
648839,5
6454721,5
6454729,5
6454932,5
6462121,5
6488321,5
6488323,5
6488329,5
64549321,5
64549329,5
645493221,5
645493229,5
